               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.033641,           0.0099408,                   0,             0.99839,                   1,               0.995,             0.65792,            0.028226,           0.0081806,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.032848,            0.010269,                   0,             0.99851,                   1,               0.995,             0.63727,            0.025081,           0.0081043,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.033869,            0.010529,                   0,             0.99843,                   1,               0.995,              0.6281,            0.025813,           0.0080376,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033566,           0.0094896,                   0,             0.99992,                   1,               0.995,             0.57426,            0.028456,           0.0081043,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03268,           0.0094491,                   0,             0.99927,                   1,               0.995,             0.66487,            0.025186,           0.0080566,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030517,           0.0096053,                   0,                   1,             0.99915,               0.995,             0.62988,            0.027109,           0.0081978,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.030082,            0.010297,                   0,             0.99963,                   1,               0.995,             0.65854,            0.022813,           0.0078239,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.031012,            0.010788,                   0,             0.99948,                   1,               0.995,             0.62942,             0.02539,            0.007946,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.03012,           0.0098164,                   0,             0.99867,                   1,               0.995,             0.65058,            0.023136,            0.007885,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.029069,            0.010839,                   0,             0.99614,                   1,               0.995,             0.64226,             0.02472,           0.0079346,                   0,            0.002575,            0.002575,            0.002575
                  77,              0.0303,            0.010119,                   0,             0.99725,                   1,               0.995,             0.61264,            0.023506,           0.0078411,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.028146,            0.009663,                   0,             0.99528,                   1,               0.995,              0.6917,            0.025375,           0.0079212,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.029943,            0.010292,                   0,             0.99561,                   1,               0.995,             0.67535,            0.023113,            0.007658,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.028396,           0.0090624,                   0,             0.99526,                   1,               0.995,             0.68353,            0.024361,           0.0076065,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.027486,            0.010359,                   0,             0.99592,                   1,               0.995,             0.67954,            0.025279,           0.0076809,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.028814,            0.010401,                   0,             0.99619,                   1,               0.995,             0.66732,            0.023835,            0.007597,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.027618,            0.010052,                   0,             0.99617,                   1,               0.995,             0.67585,            0.024611,           0.0076485,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.027934,           0.0096282,                   0,             0.99695,                   1,               0.995,             0.71984,             0.02306,           0.0076103,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.027071,            0.010021,                   0,             0.99722,                   1,               0.995,             0.69358,            0.023605,           0.0076675,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.026603,            0.010219,                   0,             0.99775,                   1,               0.995,             0.65926,            0.023092,           0.0075912,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.028855,            0.010372,                   0,             0.99771,                   1,               0.995,               0.671,            0.022949,           0.0074997,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026511,           0.0096331,                   0,             0.99854,                   1,               0.995,             0.64878,            0.024498,           0.0074511,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.027209,            0.010064,                   0,             0.99816,                   1,               0.995,             0.66807,            0.023491,           0.0074043,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.025512,           0.0085602,                   0,             0.99821,                   1,               0.995,             0.72401,            0.021585,           0.0072374,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.024984,            0.010146,                   0,             0.99788,                   1,               0.995,             0.71953,            0.021846,           0.0072203,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.027597,            0.009738,                   0,             0.99766,                   1,               0.995,             0.72795,            0.022152,           0.0071888,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024812,           0.0088112,                   0,             0.99715,                   1,               0.995,             0.72607,            0.022209,            0.007185,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.027376,           0.0098252,                   0,             0.99712,                   1,               0.995,             0.69467,            0.022974,           0.0071983,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.02557,           0.0091619,                   0,             0.99708,                   1,               0.995,             0.68841,            0.023028,           0.0071621,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.024753,           0.0090608,                   0,             0.99705,                   1,               0.995,             0.74769,            0.022242,           0.0070953,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024387,           0.0096306,                   0,             0.99691,                   1,               0.995,             0.73347,            0.022191,           0.0070572,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.026129,            0.010029,                   0,             0.99709,                   1,               0.995,             0.73349,            0.022368,           0.0070515,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.025805,           0.0095009,                   0,             0.99703,                   1,               0.995,             0.72946,            0.022558,           0.0070467,                   0,            0.000298,            0.000298,            0.000298
